front,back,mastery
กิน,eat,1
ดื่ม,drink,1
อ่าน,read,1
เขียน,write,1
เรียน,study,1
ฟัง,listen,1
พูด,speak,1
ขี่,ride,1
เดิน,walk,1
นั่ง,sit,1
นอน,sleep,1
หาย,lose,1
หา,find,1
ทำ,do,1
เป็น,be,1
ช่วย,help,1
ทำงาน,work,1
ซื้อ,buy,1
ขาย,sell,1
อยู่,live,1
คบ,meet,1
เก็บ,collect,1
เก็บเงิน,save,1
วาง,put,1
นำ,lead,1
ชอบ,like,1
รัก,love,1
